Police Department,State,sort order,data entered?,agency_type,ori,civilian_complaints_reported,civilian_complaints_sustained,use_of_force_complaints_reported,use_of_force_complaints_sustained,discrimination_complaints_reported,discrimination_complaints_sustained,criminal_complaints_reported,criminal_complaints_sustained,complaints_in_detention_reported,complaints_in_detention_sustained,years_of_complaints_data,civilian_complaints_source,civilian_complaints_source_link,2019 data available?,civilian_complaints_reported_2013,civilian_complaints_sustained_2013,use_of_force_complaints_reported_2013,use_of_force_complaints_sustained_2013,discrimination_complaints_reported_2013,discrimination_complaints_sustained_2013,criminal_complaints_reported_2013,criminal_complaints_sustained_2013,complaints_in_detention_reported_2013,complaints_in_detention_sustained_2013,civilian_complaints_reported_2014,civilian_complaints_sustained_2014,use_of_force_complaints_reported_2014,use_of_force_complaints_sustained_2014,discrimination_complaints_reported_2014,discrimination_complaints_sustained_2014,criminal_complaints_reported_2014,criminal_complaints_sustained_2014,complaints_in_detention_reported_2014,complaints_in_detention_sustained_2014,civilian_complaints_reported_2015,civilian_complaints_sustained_2015,use_of_force_complaints_reported_2015,use_of_force_complaints_sustained_2015,discrimination_complaints_reported_2015,discrimination_complaints_sustained_2015,criminal_complaints_reported_2015,criminal_complaints_sustained_2015,complaints_in_detention_reported_2015,complaints_in_detention_sustained_2015,civilian_complaints_reported_2016,civilian_complaints_sustained_2016,use_of_force_complaints_reported_2016,use_of_force_complaints_sustained_2016,discrimination_complaints_reported_2016,discrimination_complaints_sustained_2016,criminal_complaints_reported_2016,criminal_complaints_sustained_2016,complaints_in_detention_reported_2016,complaints_in_detention_sustained_2016,civilian_complaints_reported_2017,civilian_complaints_sustained_2017,use_of_force_complaints_reported_2017,use_of_force_complaints_sustained_2017,discrimination_complaints_reported_2017,discrimination_complaints_sustained_2017,criminal_complaints_reported_2017,criminal_complaints_sustained_2017,complaints_in_detention_reported_2017,complaints_in_detention_sustained_2017,civilian_complaints_reported_2018,civilian_complaints_sustained_2018,use_of_force_complaints_reported_2018,use_of_force_complaints_sustained_2018,discrimination_complaints_reported_2018,discrimination_complaints_sustained_2018,criminal_complaints_reported_2018,criminal_complaints_sustained_2018,complaints_in_detention_reported_2018,complaints_in_detention_sustained_2018,civilian_complaints_reported_2019,civilian_complaints_sustained_2019,use_of_force_complaints_reported_2019,use_of_force_complaints_sustained_2019,discrimination_complaints_reported_2019,discrimination_complaints_sustained_2019,criminal_complaints_reported_2019,criminal_complaints_sustained_2019,complaints_in_detention_reported_2019,complaints_in_detention_sustained_2019,civilian_complaints_reported_2020,civilian_complaints_sustained_2020,use_of_force_complaints_reported_2020,use_of_force_complaints_sustained_2020,discrimination_complaints_reported_2020,discrimination_complaints_sustained_2020,criminal_complaints_reported_2020,criminal_complaints_sustained_2020,complaints_in_detention_reported_2020,complaints_in_detention_sustained_2020,civilian_complaints_reported_2021,civilian_complaints_sustained_2021,use_of_force_complaints_reported_2021,use_of_force_complaints_sustained_2021,discrimination_complaints_reported_2021,discrimination_complaints_sustained_2021,criminal_complaints_reported_2021,criminal_complaints_sustained_2021,complaints_in_detention_reported_2021,complaints_in_detention_sustained_2021,civilian_complaints_reported_2022,civilian_complaints_sustained_2022,use_of_force_complaints_reported_2022,use_of_force_complaints_sustained_2022,discrimination_complaints_reported_2022,discrimination_complaints_sustained_2022,criminal_complaints_reported_2022,criminal_complaints_sustained_2022,complaints_in_detention_reported_2022,complaints_in_detention_sustained_2022,Notes,Data input by,Complaints data fact-checked? (Put your Slack handle here if you've finished checking all the info for columns E-O). Change any cells that are incorrect and highlight the ones you've changed in yellow.,Response,FINAL CHECK,Matches aggregated?,2016-2019 Updated Data,2021 Request Fact-Checking (requests filed in 2021 for data from previous years),2021 Response 1,2021 Re-check,civilian_complaints_reported,civilian_complaints_sustained,use_of_force_complaints_reported,use_of_force_complaints_sustained,discrimination_complaints_reported,discrimination_complaints_sustained,criminal_complaints_reported,criminal_complaints_sustained,complaints_in_detention_reported,complaints_in_detention_sustained,years_of_complaints_data_original,population
Colorado Springs,CO,26,Yes,police-department,CO0210100,2068,271,84,3,30,1,32,6,,,2016-21,Obtained from the Police Department,https://docs.google.com/document/d/1u3mLH5vt2kd2lBa5s2LwXIhwoJLzJup4Y-K86iVDUHI/edit?usp=sharing,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251,22,,,,,,,,,197,28,,,,,,,,,208,22,,,,,,,,,190,18,,,,,,,,,,,,,,,,,,,1222,181,84,3,30,1,32,6,,,,,,,,,,,,,"alliemonck: only total complaints and total sustained, no breakdown",alliemonck;samswey,"@yael, could not verify use of force data, MuckRock link is broken @MaryHammond - could not verify use of force data; MuckRock link works but is a spreadsheet of civilian complaints","Removed the embargo on the public records request, should be available to check now",Good - removed UOF complaints that couldn't verify,Good,,,,,2068,271,84,3,30,1,32,6,,,2016-21,485083
Fort Worth,TX,27,Yes,police-department,TX2201200,3284,837,25,1,9,0,12,5,,,2016-21,Obtained from the Police Department,https://docs.google.com/document/d/1u3mLH5vt2kd2lBa5s2LwXIhwoJLzJup4Y-K86iVDUHI/edit?usp=sharing,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,298,0,,,,,,,,,200,0,,,,,,,,,154,2,,,,,,,,,184,8,,,,,,,,,119,575,10,0,1,0,,,,,2329,252,15,1,8,0,12,5,,,,,,14,4,0,17,11,,,alliemonck: INDIVIDUALIZED,alliemonck;samswey,"@MaryHammond - # of citizen complaints 351 (2016), 220 (2017), 284 (2018) = 855. The (last) use of force chart which contains complaints and sustained complaints info in the source doc is not in the linked reports. Could not verify I and J.",,Good,Good,,,,,3284,837,25,1,9,0,12,5,,,2016-21,919789
Fairfax County PD,VA,28,Yes,police-department,VA0290100,1395,164,46,0,261,1,91,7,,,2016-21,Obtained from the Police Department,https://docs.google.com/document/d/1u3mLH5vt2kd2lBa5s2LwXIhwoJLzJup4Y-K86iVDUHI/edit?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154,9,5,0,32,0,25,1,,,150,13,4,0,36,0,6,0,,,252,29,15,0,53,0,4,0,,,373,58,15,0,60,0,18,2,,,319,38,3,0,50,1,23,2,,,147,17,4,0,30,0,15,2,,,,,,,,,,,,,alliemonck: only have 2017-2018 totals,alliemonck,"@yael, could not verify use of force data (except 18 incidents in 2018)",Removed use of force complaints data that couldn't be verified,Good,Good,,,,,1395,164,46,0,261,1,91,7,,,2016-21,1112320
Cleveland,OH,29,Yes,police-department,OHCLP0000,731,143,45,1,14,0,,,,,2016-18,Obtained from the Police Department,https://docs.google.com/document/d/1u3mLH5vt2kd2lBa5s2LwXIhwoJLzJup4Y-K86iVDUHI/edit?usp=sharing,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263,7,18,0,3,0,,,,,241,26,19,0,7,0,,,,,227,110,8,1,4,0,,,,,220,,7,,2,,,,,,276,,13,,3,,,,,,324,,6,,9,,,,,,,,,,,,,,,,alliemonck: 2019 investigations pending,alliemonck,@MaryHammond - could not verify civilian complaints data (links don't lead to info/chart),,Good,Good - other side doesn't include 2019 #s; Fact-checked individual years @MaryHammond,@MaryHammond,,,,731,143,45,1,14,0,,,,,2016-21,379121
Omaha,NE,30,Yes,police-department,NB0280200,972,237,42,1,11,0,19,9,,,2016-21,Obtained from the Police Department,https://docs.google.com/document/d/1u3mLH5vt2kd2lBa5s2LwXIhwoJLzJup4Y-K86iVDUHI/edit?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166,33,,,,,,,,,116,21,,,,,,,,,206,35,,,,,,,,,208,92,22,0,5,0,17,8,,,161,35,14,1,5,0,1,0,,,115,21,6,0,1,0,1,1,,,60,22,8,,4,0,0,0,,,alliemonck: used allegations #s,alliemonck;samswey,"@yael, original number on here (that I updated) was not formal complaints, but rather number of allegations","Reverted this one back to total allegations because it did not specify how many of the sustained allegations were in different vs within the same complaints. If the number sustained is at the allegation level and there's no way to determine how many of those allegations sustained were in seperate complaints, then we should use the total number of allegations as the denominator to calculate sustain rates.",Good,Good,,@MaryHammond,,,972,237,42,1,11,0,19,9,,,2016-21,480297
Atlanta,GA,31,Yes,police-department,GAAPD0000,480,37,103,12,17,6,,,,,2016-18,Obtained from the Police Department,https://docs.google.com/document/d/1u3mLH5vt2kd2lBa5s2LwXIhwoJLzJup4Y-K86iVDUHI/edit?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184,13,29,0,8,3,,,,,161,12,22,2,6,1,,,,,135,12,49,10,3,2,,,,,,,3,0,0,0,,,,,,,,,0,0,,,,,,,,,,,,,,,144,98,6,3,0,0,4,3,,,alliemonck: look at text above complaints graphs for # sustained,alliemonck;samswey,"@yael, could not verify use of force data, sustained complaints seems inaccurate but I didn't find a figure, just percentages of complaints @MaryHammond - confirmed citizen complaint data but note google doc has typo; should be 39 board decisions for 2018. Still could not verify use of force data.","Added clarifying langauge specifying how these were calculated in the doc, needs to be checked",Good - removed UOF complaints that couldn't verify,Good,,,,,480,37,103,12,17,6,,,,,2016-21,474201
Fort Lauderdale,FL,32,Yes,police-department,FL0060300,527,19,13,1,22,0,4,0,,,2016-21,Obtained from the Police Department,https://docs.google.com/document/d/1u3mLH5vt2kd2lBa5s2LwXIhwoJLzJup4Y-K86iVDUHI/edit?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122,5,,,,,,,,,115,0,,,,,,,,,208,13,,,3,0,,,,,13,0,11,1,5,0,,,,,15,1,1,0,5,0,,,,,54,0,1,0,9,0,4,0,,,13,2,5,0,1,0,0,0,,,"alliemonck: only total complaints and total sustained, no breakdown",alliemonck; 2021 ashtaan,@MaryHammond - could not verify civilian or use of force complaints data; use of force data is by incident,,Good - removed UOF complaints that couldn't verify,Good,,,,,527,19,13,1,22,0,4,0,,,2016-21,184347
Hollywood,FL,33,Yes,police-department,FL0060500,,,,,,,,,,,,Obtained from the Police Department,https://docs.google.com/document/d/1u3mLH5vt2kd2lBa5s2LwXIhwoJLzJup4Y-K86iVDUHI/edit?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297,,,,,,,,,,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alliemonck: only have total # of complaints for 2016 + 2017,alliemonck,"@yael, could not view PDF (for some reason the MuckRock link wasn't working) so could not verify use of force #s and sustained #s",,Good - removed UOF complaints that couldn't verify,Good,,,,,,,,,,,,,,,2016-21,156434
San Antonio,TX,34,Yes,police-department,TXSPD0000,,,,,17,3,,,,,,Obtained from the Police Department,https://docs.google.com/document/d/1u3mLH5vt2kd2lBa5s2LwXIhwoJLzJup4Y-K86iVDUHI/edit?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,,,,,,,,,2,0,,,,,,,,,1,0,,,,,,,,,0,0,,,,,,,,,5,1,,,,,,,,,3,2,,,,,,,16,4,6,0,20,2,,,alliemonck: only have data on 2 racial profling complaints in 2017,alliemonck;samswey,"@yael, could not verify sustained # or bias complaint #s @MaryHammond - checked bias complaints data; note that 2018 data never specifies disposition of complaint, but I left the number at 0","Removed sustained complaints number and added to the doc the links to the racial profiling reports with bias complaints data, needs to be checked",Good,Good,,,,,,,,,17,3,,,,,2016-21,1573157
Miami-Dade,FL,35,Yes,police-department,FL0130000,739,333,33,3,1,0,37,0,,,2016-21,Obtained from the Police Department,https://docs.google.com/document/d/1u3mLH5vt2kd2lBa5s2LwXIhwoJLzJup4Y-K86iVDUHI/edit?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189,63,,,,,,,,,144,79,,,,,,,,,141,68,,,,,,,,,104,72,,,,,,,,,113,42,22,3,0,0,36,0,,,48,9,11,0,1,0,1,0,,,,,,,,,,,,,alliemonck: cases sustained totals include cases initiated in current and prior years,alliemonck,"@Morgan Keith, updated civilian complaints figures to include 2019 data, could not find source to verify numbers for use of force complaints",Updated use of force complaints data to reflect reporting here: https://stories.usatodaynetwork.com/data_stories/police-use-of-force-data-a-huge-mess-across-the-u-s/,Good,Good,,@MaryHammond - didn't see source to verify total use of force numbers,"alliemonck - looks like we requested 2016-2019 complaints recently, can't find source for #s here",,739,333,33,3,1,0,37,0,,,2016-21,1186380
Mesa,AZ,36,Yes,police-department,AZ0071700,710,72,1,1,1,0,0,0,,,2016-20,Obtained from the Police Department,https://docs.google.com/document/d/1u3mLH5vt2kd2lBa5s2LwXIhwoJLzJup4Y-K86iVDUHI/edit?usp=sharing,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165,11,,,,,,,,,77,9,,,,,,,,,127,22,,,,,,,,,198,15,,,,,,,,,143,15,1,1,1,0,0,0,,,,,,,,,,,,,82,9,,,,,,,,,"alliemonck: only total complaints and total sustained, no breakdown",alliemonck,"@yael, could not verify use of force data",Updated use of force data to include 2014-18 complaints data cited in google doc,Good - removed UOF complaints that couldn't verify,Good,,@MaryHammond,,,710,72,1,1,1,0,0,0,,,2016-21,527361
Tacoma,WA,37,Yes,police-department,WA0270300,691,90,40,5,10,0,2,0,,,2016-21,Obtained from the Police Department,https://docs.google.com/document/d/1u3mLH5vt2kd2lBa5s2LwXIhwoJLzJup4Y-K86iVDUHI/edit?usp=sharing,,,,18,2,,,,,,,,,6,0,,,,,,,,,4,0,,,,,,,118,12,3,2,,,,,,,127,26,,,,,,,,,121,9,,,,,,,,,119,14,,,,,,,,,118,15,6,1,5,0,2,0,,,88,14,3,0,5,0,0,0,,,130,8,2,0,3,0,1,0,,,alliemonck: have number of sustained findings but unclear if those are complaints or allegations (we have total allegation numbers),alliemonck;samswey,@MaryHammond - could not verify civilian complaint info; MuckRock civilian complaints link doesn’t work. Added use of force data for 2016.,,Good - added 2019 data,Good,,,,,691,90,40,5,10,0,2,0,,,2016-21,220123
Indianapolis,IN,38,Yes,police-department,INIPD0000,307,5,29,0,10,0,3,0,,,2016-21,Obtained from the Police Department,https://docs.google.com/document/d/1u3mLH5vt2kd2lBa5s2LwXIhwoJLzJup4Y-K86iVDUHI/edit?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168,1,9,0,5,0,1,0,,,117,1,9,0,3,0,1,0,,,76,,7,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,22,3,4,0,1,0,0,0,,,6,2,0,0,0,0,0,0,,,alliemonck: INDIVIDUALIZED,alliemonck;samswey,@MaryHammond - could not verify complaints data from Indy PD website link. Was able to get civilian complaints info for 2017-18 from Indy PD annual report link: total 143; sustained 15.,,Good,Good,,,,,307,5,29,0,10,0,3,0,,,2016-21,890672
Lansing,MI,39,Yes,police-department,MI3351900,138,6,6,0,0,0,1,1,,,2018-21,Obtained from the Police Department,https://docs.google.com/document/d/1u3mLH5vt2kd2lBa5s2LwXIhwoJLzJup4Y-K86iVDUHI/edit?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,2,3,0,,,1,1,,,33,0,0,0,,,0,0,,,42,2,3,0,,,0,0,,,43,2,0,0,0,0,,,,,,,,,,,,,,,"alliemonck: no breakdown by year, only total number over 5.5 years",alliemonck,@MaryHammond - unable to access article; subscription required,,Good,,,maryhammond - couldn't verify total numbers; looks like numbers are missing,"alliemonck - used ""Citizen Complaints: X incidents"" #s in the doc that are listed at the bottom of each year that the dept provided, if they don't match we'll circle back",,138,6,6,0,0,0,1,1,,,2016-21,113754
Scottsdale,AZ,40,Yes,police-department,AZ0072500,285,12,,,12,0,,,,,2016-18,Obtained from the Police Department,https://docs.google.com/document/d/1u3mLH5vt2kd2lBa5s2LwXIhwoJLzJup4Y-K86iVDUHI/edit?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,8,,,,,,,,,80,2,,,,,,,,,114,2,,,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"alliemonck: 2 complaints in 2017 were ""partially"" sustained",alliemonck,"@yael, information in the Google doc has conflicting numbers @MaryHammond - rechecked data; confirmed","Updated google doc, needs to be rechecked",Good,Good,,,,,285,12,,,12,0,,,,,2016-21,263006
Columbia,SC,41,Yes,police-department,SC0400100,662,135,,,,,,,,,2015-21,Obtained from the Police Department,https://docs.google.com/document/d/1u3mLH5vt2kd2lBa5s2LwXIhwoJLzJup4Y-K86iVDUHI/edit?usp=sharing,,,,,,,,,,,,,,,,,,,,,,127,18,,,,,,,,,91,9,,,,,,,,,81,23,,,,,,,,,101,24,,,,,,,,,97,22,,,,,,,,,84,18,,,,,,,,,81,21,,,,,,,,,74,19,5,0,7,0,,,,,alliemonck: only have total # of complaints for 2016-2018,alliemonck;samswey,"@yael, information in the Google doc has conflicting numbers @MaryHammond - rechecked data; confirmed","Updated google doc, needs to be rechecked",Good,Good,,,,,662,135,,,,,,,,,2016-21,131185
Albuquerque,NM,42,Yes,police-department,NM0010100,268,11,,,,,,,,,2017-17,Obtained from the Police Department,https://docs.google.com/document/d/1u3mLH5vt2kd2lBa5s2LwXIhwoJLzJup4Y-K86iVDUHI/edit?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alliemonck: no clear breakdown by year,alliemonck,@MaryHammond,,Good,,,,,,268,11,,,,,,,,,2016-21,562065
Durham,NC,43,Yes,police-department,NC0320100,427,84,,,,,,,,,2016-21,Obtained from the Police Department,https://docs.google.com/document/d/1u3mLH5vt2kd2lBa5s2LwXIhwoJLzJup4Y-K86iVDUHI/edit?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117,14,,,,,,,,,87,19,,,,,,,,,52,15,,,,,,,,,88,22,,,,,,,,,63,12,,,,,,,,,20,2,,,,,,,,,21,6,1,0,1,0,1,0,,,alliemonck: used allegations #s,alliemonck,"@yael, this is confusing because the number for complaints in the second chart appears to include complaints as well as allegations, concerns, etc. in the first chart","used allegation totals for this one since the sustained totals refelct the number of sustained allegations, not the number of sustained complaints.",Good,Good,,,,,427,84,,,,,,,,,2016-21,284892
Tampa,FL,44,Yes,police-department,FL0290200,255,11,2,0,32,0,4,0,,,2016-17,Obtained from the Police Department,https://docs.google.com/document/d/1u3mLH5vt2kd2lBa5s2LwXIhwoJLzJup4Y-K86iVDUHI/edit?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,9,2,0,2,0,2,0,,,179,2,,,,,2,0,,,287,,,,,,,,,,269,,,,15,0,,,,,164,,,,9,0,,,,,162,,,,6,0,,,,,,,,,,,,,,,"alliemonck: data weird - have ""telephone complaint"" ""walk-in complaint"" and ""citizen complaint"" - only counted ""citizen complaint""",alliemonck,"@MaryHammond - could not verify civilian complaints sustained, use of force complaints data",,Good,Good,,,,,255,11,2,0,32,0,4,0,,,2016-21,407350
Dallas,TX,45,Yes,police-department,TXDPD0000,3572,744,268,27,98,0,14,9,,,2017-21,Obtained from the Police Department,https://docs.google.com/document/d/1u3mLH5vt2kd2lBa5s2LwXIhwoJLzJup4Y-K86iVDUHI/edit?usp=sharing,,,,,,12,0,,,,,,,,,12,0,,,,,258,,,,12,0,,,,,204,,26,2,9,0,,,,,178,26,37,1,6,0,,,,,454,28,28,4,,,,,,,851,267,50,4,19,0,6,3,,,1386,345,84,9,16,0,8,6,,,703,78,43,7,12,0,,,,,,,,,,,,,,,alliemonck,alliemonck;samswey,"@yael, #s in the PDF are different than these, was there a different source? @MaryHammond - rechecked data; confirmed","Updated google doc, needs to be rechecked",Good,More data on this side - data present matches,,maryhammond,,,3572,744,268,27,98,0,14,9,,,2016-21,1278608
Miami,FL,46,Yes,police-department,FL0130600,331,49,90,3,6,0,,,,,2016-21,Obtained from the Police Department,https://docs.google.com/document/d/1u3mLH5vt2kd2lBa5s2LwXIhwoJLzJup4Y-K86iVDUHI/edit?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,5,19,0,2,0,,,,,212,,,,,,,,,,246,35,,,,,,,,,18,4,29,1,2,0,,,,,11,1,16,1,1,0,,,,,42,4,26,1,1,0,,,,,235,25,23,,3,,,,,,"alliemonck: have allegation breakdown for 2018, not inputted because unclear if sustained number is complaints or allegations",alliemonck;samswey;2021 ashtaan,"@yael, could not verify use of force sustained, also did not include 2017 data just on # of complaints, although it is listed in the PDF",removed force sustained total since it could not be verified,Good,More data on this side - data present matches,,,,,331,49,90,3,6,0,,,,,2016-21,476102
Rochester,NY,47,Yes,police-department,NY0270100,417,28,101,0,4,0,7,0,,,2016-21,Obtained from the Police Department,https://docs.google.com/document/d/1u3mLH5vt2kd2lBa5s2LwXIhwoJLzJup4Y-K86iVDUHI/edit?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,2,19,0,2,0,2,0,,,50,8,11,0,2,0,5,0,,,92,3,33,0,0,0,0,0,,,79,7,13,0,0,0,0,0,,,60,4,17,0,0,0,0,0,,,32,4,8,0,0,0,0,0,,,,,,,,,,,,,alliemonck: used allegations #s,alliemonck; 2021 samswey,@yael numbers checked out but there'e an extra chart in the Google doc above the ones I used. It doesn't have a year listed & I'm not sure what it is,Removed that part since it was redundant,Good,Good,,maryhammond,,,417,28,101,0,4,0,7,0,,,2016-21,205199
St. Louis County Pol Dep,MO,48,Yes,police-department,MO0950000,428,63,0,0,1,0,4,0,,,2016-21,Obtained from the Police Department,https://docs.google.com/document/d/1u3mLH5vt2kd2lBa5s2LwXIhwoJLzJup4Y-K86iVDUHI/edit?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,9,,,,,45,,,,43,11,,,,,41,,,,36,12,,,,,21,,,,26,8,,,,,,,,,30,16,,,,,,,,,247,7,0,0,1,0,4,0,,,15,10,5,1,0,0,0,0,,,alliemonck: used allegations #s and percentages to calculate # sustained,alliemonck,"@yael, could not verify # of discrimination complaints sustained",,Good - removed bias policing # sustained,Good - criminal complaints not on other side,,,,,428,63,0,0,1,0,4,0,,,2016-21,406289
Wilmington,NC,49,Yes,police-department,NC0650200,222,45,,,,,,,,,2016-18,Obtained from the Police Department,https://docs.google.com/document/d/1u3mLH5vt2kd2lBa5s2LwXIhwoJLzJup4Y-K86iVDUHI/edit?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,0,,,,,,,,,56,11,,,,,,,,,124,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alliemonck: used allegations #s,alliemonck,"@yael, could only verify 8 discrimination complaints in 2018, did not see 15 listed",,"Good - removed discrimination complaints, could not verify",Good,,,,,222,45,,,,,,,,,2016-21,125794
Milwaukee,WI,50,Yes,police-department,WIMPD0000,850,122,25,2,5,0,46,3,,,2016-21,Obtained from the Police Department,https://docs.google.com/document/d/1u3mLH5vt2kd2lBa5s2LwXIhwoJLzJup4Y-K86iVDUHI/edit?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153,26,,,,,,,,,113,17,,,,,,,,,108,15,,,,,,,,,137,25,,,,,,,,,189,28,2,2,3,0,36,3,,,150,11,23,0,2,0,10,0,,,,,,,,,,,,,alliemonck,alliemonck,"@yael, note that there are more complaint #s from 2016 and 2017 not included in this list, maybe because the breakdowns weren't available. Also, complaint # for 2018 in the longer report is 255, but there are many different #s for complaints listed throughout and it's not clear why they're different or which ones we should use. Also could not find H, I",,Good,Good,,,,,850,122,25,2,5,0,46,3,,,2016-21,589105
Gainesville,FL,51,Yes,police-department,FL0010100,503,41,,,5,0,,,,,2013-21,Obtained from the Police Department,https://docs.google.com/document/d/1u3mLH5vt2kd2lBa5s2LwXIhwoJLzJup4Y-K86iVDUHI/edit?usp=sharing,,97,3,,,,,,,,,87,10,,,,,,,,,72,10,,,,,,,,,87,7,,,,,,,,,70,5,,,,,,,,,54,2,,,,,,,,,45,,,,,,,,,,34,,,,,,,,,,36,4,,,5,0,,,,,,,,,3,0,,,,,alliemonck: no breakdwon by type,alliemonck;samswey,@MaryHammond - could not verify use of force complaints data (MuckRock communication says info would be put on CD and mailed),,Good - removed UOF complaints that couldn't verify,Good,,maryhammond,,,503,41,,,5,0,,,,,2016-21,135076
Billings,MT,52,Yes,police-department,MT0560100,383,49,10,0,,,11,0,,,2016-20,Obtained from the Police Department,https://docs.google.com/document/d/1u3mLH5vt2kd2lBa5s2LwXIhwoJLzJup4Y-K86iVDUHI/edit?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,5,1,0,,,3,0,,,61,6,,,,,,,,,72,10,0,0,,,2,0,,,91,10,8,0,,,2,0,,,81,18,1,0,,,4,0,,,,,,,,,,,,,85,10,5,,,,2,,,,alliemonck: combine class 1 and class 2 citizen complaints for totals; sustained numbers on allegations,alliemonck; 2021 samswey,"@yael, could not verify number sustained, also did not see ""biased policing"" or ""bias policing"" or discrimination so not sure which one to count, could not verify.",,"Good - removed bias policing complaints + total UOF complaints sustained, couldn't verify",Good - criminal complaints not on other side,,,,,383,49,10,0,,,11,0,,,2016-21,110157
Wichita,KS,53,Yes,police-department,KS0870300,1437,156,49,0,34,0,,,,,2016-21,Obtained from the Police Department,https://docs.google.com/document/d/1u3mLH5vt2kd2lBa5s2LwXIhwoJLzJup4Y-K86iVDUHI/edit?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114,0,6,0,3,0,,,,,197,0,10,0,6,0,,,,,230,0,8,0,6,0,,,,,207,0,10,0,11,0,,,,,218,0,15,0,8,0,,,,,471,156,,,,,,,,,297,36,10,0,15,0,14,4,,,alliemonck: only have 2018 data,alliemonck;samswey,"@yael, could not verify numbers because they were for different time periods; one was August 2019-August 2019, one just for 2018",,Good,Good - don't expect to match,,@MaryHammond,,,1437,156,49,0,34,0,,,,,2016-21,390746
Maricopa,AZ,54,Yes,sheriff,AZ0070000,329,77,17,3,24,7,20,0,12,2,2018-21,Obtained from the Police Department,https://docs.google.com/document/d/1u3mLH5vt2kd2lBa5s2LwXIhwoJLzJup4Y-K86iVDUHI/edit?usp=sharing,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197,47,11,1,8,1,18,0,12,2,,,,,,,,,,,,,,,,,,,,,132,30,6,2,16,6,2,0,,,,,,,,,,,,,alliemonck: INDIVIDUALIZED,alliemonck,@MaryHammond - my numbers slightly different; was unclear about detention complaints,,Need table,No,,,,,329,77,17,3,24,7,20,0,12,2,2016-21,458571
Gilbert,AZ,55,Yes,police-department,AZ0071100,519,93,13,3,20,0,,,,,2016-21,Obtained from the Police Department,https://docs.google.com/document/d/1u3mLH5vt2kd2lBa5s2LwXIhwoJLzJup4Y-K86iVDUHI/edit?usp=sharing,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,8,,,,,,,,,61,15,,,,,,,,,68,18,,,,,,,,,91,14,,,,,,,,,116,15,5,1,9,0,,,,,109,23,8,2,11,0,,,,,,,,,,,,,,,alliemonck: INDIVIDUALIZED,alliemonck; 2021-21 samswey,"@MaryHammond - could not verify number of complaints reported, only sustained; 2020-21 mhammond",,Good,Good,,,,,519,93,13,3,20,0,,,,,2016-21,259629
