"Police Department","State","Concatenated","ORI","2020 Population of Jurisdiciton"
"ALVIN POLICE DEPARTMENT","TX","ALVIN POLICE DEPARTMENTTX","TX0200100",27015
"TEMPLE TERRACE POLICE DEPARTMENT","FL","TEMPLE TERRACE POLICE DEPARTMENTFL","FL0290300",26890
"PARADISE POLICE DEPARTMENT","CA","PARADISE POLICE DEPARTMENTCA","CA0040500",4072
"PARAMUS POLICE","NJ","PARAMUS POLICENJ","NJ0024600",26222
"NORCO POLICE DEPARTMENT","CA","NORCO POLICE DEPARTMENTCA","CA0331000",0
"BELMONT POLICE DEPARTMENT","MA","BELMONT POLICE DEPARTMENTMA","MA0090700",26136
"XENIA POLICE DIVISION","OH","XENIA POLICE DIVISIONOH","OH0290300",27095
"WOOSTER POLICE DEPARTMENT","OH","WOOSTER POLICE DEPARTMENTOH","OH0850300",26424
"LONDONDERRY POLICE DEPARTMENT","NH","LONDONDERRY POLICE DEPARTMENTNH","NH0083800",26812
"LEMOORE POLICE DEPARTMENT","CA","LEMOORE POLICE DEPARTMENTCA","CA0160300",26980
"DAPHNE POLICE DEPARTMENT","AL","DAPHNE POLICE DEPARTMENTAL","AL0050800",27496
"HORSHAM TOWNSHIP POLICE DEPARTMENT","PA","HORSHAM TOWNSHIP POLICE DEPARTMENTPA","PA0461000",26522
"THOMASVILLE POLICE DEPARTMENT","NC","THOMASVILLE POLICE DEPARTMENTNC","NC0290200",26354
"BRAWLEY POLICE DEPARTMENT","CA","BRAWLEY POLICE DEPARTMENTCA","CA0130100",26363
"MOUNT PLEASANT POLICE DEPARTMENT","WI","MOUNT PLEASANT POLICE DEPARTMENTWI","WI0520700",27125
"AUBURN POLICE DEPARTMENT","NY","AUBURN POLICE DEPARTMENTNY","NY0050100",26012
"WEST MILFORD TOWNSHIP POLICE","NJ","WEST MILFORD TOWNSHIP POLICENJ","NJ0161500",26310
"VERSAILLES POLICE DEPARTMENT","KY","VERSAILLES POLICE DEPARTMENTKY","KY1200100",26899
"GALT POLICE DEPARTMENT","CA","GALT POLICE DEPARTMENTCA","CA0340200",26867
"SWATARA TOWNSHIP POLICE DEPARTMENT","PA","SWATARA TOWNSHIP POLICE DEPARTMENTPA","PA0220900",26820
"BROWNSBURG POLICE","IN","BROWNSBURG POLICEIN","IN0320100",27621
"GARDEN CITY POLICE DEPARTMENT","MI","GARDEN CITY POLICE DEPARTMENTMI","MI8242000",26282
"MOUNT PLEASANT TOWN POLICE DEPARTMENT","NY","MOUNT PLEASANT TOWN POLICE DEPARTMENTNY","NY0595700",26966
"MAHWAH TOWNSHIP POLICE","NJ","MAHWAH TOWNSHIP POLICENJ","NJ0023300",26201
"FREMONT POLICE DEPARTMENT","NE","FREMONT POLICE DEPARTMENTNE","NB0270100",26381
"CABOT POLICE DEPARTMENT","AR","CABOT POLICE DEPARTMENTAR","AR0430200",26593
"WINDSOR POLICE DEPARTMENT","CO","WINDSOR POLICE DEPARTMENTCO","CO0620600",24070
"UPPER DUBLIN TOWNSHIP POLICE DEPARTMENT","PA","UPPER DUBLIN TOWNSHIP POLICE DEPARTMENTPA","PA0462700",26658
"HAMILTON TOWNSHIP POLICE","NJ","HAMILTON TOWNSHIP POLICENJ","NJ0011200",25654
"MIDLOTHIAN POLICE DEPARTMENT","TX","MIDLOTHIAN POLICE DEPARTMENTTX","TX0700500",34962
"SOLEDAD POLICE DEPARTMENT","CA","SOLEDAD POLICE DEPARTMENTCA","CA0271100",26000
"MONTGOMERY TOWNSHIP POLICE DEPARTMENT","PA","MONTGOMERY TOWNSHIP POLICE DEPARTMENTPA","PA0461800",26315
"READING POLICE DEPARTMENT","MA","READING POLICE DEPARTMENTMA","MA0093600",25417
"BESSEMER POLICE DEPARTMENT","AL","BESSEMER POLICE DEPARTMENTAL","AL0010100",26347
"STEVENS POINT POLICE DEPARTMENT","WI","STEVENS POINT POLICE DEPARTMENTWI","WI0500100",25790
"WHITE BEAR LAKE POLICE DEPARTMENT","MN","WHITE BEAR LAKE POLICE DEPARTMENTMN","MN0621000",25628
"ATHENS POLICE DEPARTMENT","AL","ATHENS POLICE DEPARTMENTAL","AL0440100",28039
"MEDINA POLICE DEPARTMENT","OH","MEDINA POLICE DEPARTMENTOH","OH0520200",25882
"WETHERSFIELD POLICE DEPARTMENT","CT","WETHERSFIELD POLICE DEPARTMENTCT","CT0015900",25936
"NORTH KINGSTOWN POLICE DEPARTMENT","RI","NORTH KINGSTOWN POLICE DEPARTMENTRI","RI0050200",26221
"BARBERTON POLICE DEPARTMENT","OH","BARBERTON POLICE DEPARTMENTOH","OH0770200",25890
"HANAHAN POLICE DEPARTMENT","SC","HANAHAN POLICE DEPARTMENTSC","SC0080600",28143
"SUPERIOR POLICE DEPARTMENT","WI","SUPERIOR POLICE DEPARTMENTWI","WI0160100",25845
"LAUREL POLICE DEPARTMENT","MD","LAUREL POLICE DEPARTMENTMD","MD0171700",25704
"WOODBURN POLICE DEPARTMENT","OR","WOODBURN POLICE DEPARTMENTOR","OR0240500",26521
"NEENAH POLICE DEPARTMENT","WI","NEENAH POLICE DEPARTMENTWI","WI0710200",26390
"FLORENCE POLICE DEPARTMENT","AZ","FLORENCE POLICE DEPARTMENTAZ","AZ0110700",27571
"SOUTH WINDSOR POLICE DEPARTMENT","CT","SOUTH WINDSOR POLICE DEPARTMENTCT","CT0013200",26213
"TROY POLICE DEPARTMENT","OH","TROY POLICE DEPARTMENTOH","OH0550400",26407
"EXETER TOWNSHIP POLICE DEPARTMENT","PA","EXETER TOWNSHIP POLICE DEPARTMENTPA","PA0060400",25815
"WALL TOWNSHIP POLICE","NJ","WALL TOWNSHIP POLICENJ","NJ0135200",25489
"SALEM POLICE DEPARTMENT","VA","SALEM POLICE DEPARTMENTVA","VA0800100",25326
"SOUTH PASADENA POLICE DEPARTMENT","CA","SOUTH PASADENA POLICE DEPARTMENTCA","CA0197000",25299
"ASHEBORO POLICE DEPARTMENT","NC","ASHEBORO POLICE DEPARTMENTNC","NC0760100",25994
"MARSHFIELD POLICE DEPARTMENT","MA","MARSHFIELD POLICE DEPARTMENTMA","MA0121500",26936
"MADISON POLICE DEPARTMENT","MS","MADISON POLICE DEPARTMENTMS","MS0450400",25831
"OWATONNA POLICE DEPARTMENT","MN","OWATONNA POLICE DEPARTMENTMN","MN0740100",25720
"MOUNT PLEASANT POLICE DEPARTMENT","MI","MOUNT PLEASANT POLICE DEPARTMENTMI","MI3759900",24668
"LEBANON POLICE DEPARTMENT","PA","LEBANON POLICE DEPARTMENTPA","PA0380200",25925
"REEDLEY POLICE DEPARTMENT","CA","REEDLEY POLICE DEPARTMENTCA","CA0101200",25800
"EL CERRITO POLICE DEPARTMENT","CA","EL CERRITO POLICE DEPARTMENTCA","CA0070500",25725
"MOON TOWNSHIP POLICE DEPARTMENT","PA","MOON TOWNSHIP POLICE DEPARTMENTPA","PA0023500",25575
"HERCULES POLICE DEPARTMENT","CA","HERCULES POLICE DEPARTMENTCA","CA0070600",26524
"MERRIMACK POLICE DEPARTMENT","NH","MERRIMACK POLICE DEPARTMENTNH","NH0064000",26602
"SEBASTIAN POLICE DEPARTMENT","FL","SEBASTIAN POLICE DEPARTMENTFL","FL0310200",26626
"MERCER ISLAND DEPARTMENT OF PUBLIC SAFETY","WA","MERCER ISLAND DEPARTMENT OF PUBLIC SAFETYWA","WA0170900",26268
"TARPON SPRINGS POLICE DEPARTMENT","FL","TARPON SPRINGS POLICE DEPARTMENTFL","FL0521800",25818
"FARMINGTON POLICE DEPARTMENT","CT","FARMINGTON POLICE DEPARTMENTCT","CT0005200",25512
"BALCH SPRINGS POLICE DEPARTMENT","TX","BALCH SPRINGS POLICE DEPARTMENTTX","TX0570200",25189
"STARKVILLE POLICE DEPARTMENT","MS","STARKVILLE POLICE DEPARTMENTMS","MS0530100",25854
"SOUTH PORTLAND POLICE DEPARTMENT","ME","SOUTH PORTLAND POLICE DEPARTMENTME","ME0030600",25593
"RANDOLPH TOWNSHIP POLICE","NJ","RANDOLPH TOWNSHIP POLICENJ","NJ0143200",25311
"WATERTOWN POLICE DEPARTMENT","NY","WATERTOWN POLICE DEPARTMENTNY","NY0220100",24624
"HOMEWOOD POLICE DEPARTMENT","AL","HOMEWOOD POLICE DEPARTMENTAL","AL0011000",25407
"UNIVERSITY PARK POLICE DEPARTMENT","TX","UNIVERSITY PARK POLICE DEPARTMENTTX","TX0572400",25253
"OSSINING VILLAGE POLICE DEPARTMENT","NY","OSSINING VILLAGE POLICE DEPARTMENTNY","NY0590500",24786
"DEDHAM POLICE DEPARTMENT","MA","DEDHAM POLICE DEPARTMENTMA","MA0110700",25217
"RIDGEWOOD POLICE","NJ","RIDGEWOOD POLICENJ","NJ0025100",25036
"MAULDIN POLICE DEPARTMENT","SC","MAULDIN POLICE DEPARTMENTSC","SC0230400",25662
"KINGSVILLE POLICE DEPARTMENT","TX","KINGSVILLE POLICE DEPARTMENTTX","TX1370100",25195
"ZANESVILLE POLICE DEPARTMENT","OH","ZANESVILLE POLICE DEPARTMENTOH","OH0600100",25136
"ATHENS POLICE DEPARTMENT","OH","ATHENS POLICE DEPARTMENTOH","OH0050100",24570
"NORTHPORT POLICE DEPARTMENT","AL","NORTHPORT POLICE DEPARTMENTAL","AL0630200",26372
"MOSCOW POLICE DEPARTMENT","ID","MOSCOW POLICE DEPARTMENTID","ID0290500",25918
"ROCKAWAY TOWNSHIP POLICE","NJ","ROCKAWAY TOWNSHIP POLICENJ","NJ0143500",26046
"CHAMPLIN POLICE DEPARTMENT","MN","CHAMPLIN POLICE DEPARTMENTMN","MN0272900",25517
"CLINTON POLICE DEPARTMENT","IA","CLINTON POLICE DEPARTMENTIA","IA0230100",24905
"FRANKLIN POLICE","IN","FRANKLIN POLICEIN","IN0410200",25825
"SANGER POLICE DEPARTMENT","CA","SANGER POLICE DEPARTMENTCA","CA0101300",25457
"KEY WEST POLICE DEPARTMENT","FL","KEY WEST POLICE DEPARTMENTFL","FL0440100",24060
"DEWITT TOWN POLICE DEPARTMENT","NY","DEWITT TOWN POLICE DEPARTMENTNY","NY0335300",24947
"RIDGEFIELD POLICE DEPARTMENT","CT","RIDGEFIELD POLICE DEPARTMENTCT","CT0011800",24990
"GRANDVIEW POLICE DEPARTMENT","MO","GRANDVIEW POLICE DEPARTMENTMO","MO0480400",24898
"HAZELWOOD POLICE DEPARTMENT","MO","HAZELWOOD POLICE DEPARTMENTMO","MO0953800",25051
"ERIE POLICE DEPARTMENT","CO","ERIE POLICE DEPARTMENTCO","CO0620700",15967
"HUDSON POLICE DEPARTMENT","NH","HUDSON POLICE DEPARTMENTNH","NH0062800",25748
"EASTON POLICE DEPARTMENT","MA","EASTON POLICE DEPARTMENTMA","MA0030600",25176
"WALPOLE POLICE DEPARTMENT","MA","WALPOLE POLICE DEPARTMENTMA","MA0112400",25273
"DE PERE POLICE DEPARTMENT","WI","DE PERE POLICE DEPARTMENTWI","WI0050100",25090
"SUSQUEHANNA TOWNSHIP POLICE DEPARTMENT","PA","SUSQUEHANNA TOWNSHIP POLICE DEPARTMENTPA","PA0220800",25233
"SIMSBURY POLICE DEPARTMENT","CT","SIMSBURY POLICE DEPARTMENTCT","CT0012800",25614
"SOUTH SALT LAKE POLICE DEPARTMENT","UT","SOUTH SALT LAKE POLICE DEPARTMENTUT","UT0180400",25816
"MCDONOUGH POLICE DEPARTMENT","GA","MCDONOUGH POLICE DEPARTMENTGA","GA0750100",27338
"PALM SPRINGS PUBLIC SAFETY DEPARTMENT.","FL","PALM SPRINGS PUBLIC SAFETY DEPARTMENT.FL","FL0502700",25451
"CLINTON POLICE DEPARTMENT","MS","CLINTON POLICE DEPARTMENTMS","MS0250300",24349
"DERRY TOWNSHIP POLICE DEPARTMENT","PA","DERRY TOWNSHIP POLICE DEPARTMENTPA","PA0221500",25313
"MIDDLEBORO POLICE DEPARTMENT","MA","MIDDLEBORO POLICE DEPARTMENTMA","MA0121700",26606
"MUSKEGO POLICE DEPARTMENT","WI","MUSKEGO POLICE DEPARTMENTWI","WI0680600",25237
"RIVERSIDE POLICE DEPARTMENT","OH","RIVERSIDE POLICE DEPARTMENTOH","OH0572200",25128
"CALEDONIA POLICE DEPARTMENT","WI","CALEDONIA POLICE DEPARTMENTWI","WI0520300",25323
"RIVERBANK POLICE DEPARTMENT","CA","RIVERBANK POLICE DEPARTMENTCA","CA0500600",0
"WALKER POLICE DEPARTMENT","MI","WALKER POLICE DEPARTMENTMI","MI4180200",25020
"FARMINGTON POLICE DEPARTMENT","UT","FARMINGTON POLICE DEPARTMENTUT","UT0060500",26256
"CLIFFSIDE PARK POLICE","NJ","CLIFFSIDE PARK POLICENJ","NJ0020600",26400
"SELMA POLICE DEPARTMENT","CA","SELMA POLICE DEPARTMENTCA","CA0101500",24982
"HASTINGS POLICE DEPARTMENT","NE","HASTINGS POLICE DEPARTMENTNE","NB0010100",24638
"ROCKVILLE CENTRE POLICE DEPARTMENT","NY","ROCKVILLE CENTRE POLICE DEPARTMENTNY","NY0290900",24604
"BURLINGTON POLICE DEPARTMENT","IA","BURLINGTON POLICE DEPARTMENTIA","IA0290100",24622
"AUSTIN POLICE DEPARTMENT","MN","AUSTIN POLICE DEPARTMENTMN","MN0500100",25267
"PADUCAH POLICE DEPARTMENT","KY","PADUCAH POLICE DEPARTMENTKY","KY0730100",24850
"PALMETTO BAY","FL","PALMETTO BAYFL","FL0139500",24641
"HAINES CITY POLICE DEPARTMENT","FL","HAINES CITY POLICE DEPARTMENTFL","FL0530900",26719
"SAN FERNANDO POLICE DEPARTMENT","CA","SAN FERNANDO POLICE DEPARTMENTCA","CA0196100",24399
"NEWPORT POLICE DEPARTMENT","RI","NEWPORT POLICE DEPARTMENTRI","RI0030300",24202
"WYANDOTTE POLICE DEPARTMENT","MI","WYANDOTTE POLICE DEPARTMENTMI","MI8283300",24757
"ARDMORE POLICE DEPARTMENT","OK","ARDMORE POLICE DEPARTMENTOK","OK0100100",24718
"CONWAY POLICE DEPARTMENT","SC","CONWAY POLICE DEPARTMENTSC","SC0260200",27120
"WATAUGA POLICE DEPARTMENT","TX","WATAUGA POLICE DEPARTMENTTX","TX2202600",24588
"BAINBRIDGE ISLAND POLICE DEPARTMENT","WA","BAINBRIDGE ISLAND POLICE DEPARTMENTWA","WA0180700",25561
"PARIS POLICE DEPARTMENT","TX","PARIS POLICE DEPARTMENTTX","TX1390200",24801
"ELK RIVER POLICE DEPARTMENT","MN","ELK RIVER POLICE DEPARTMENTMN","MN0710200",25467
"LODI POLICE","NJ","LODI POLICENJ","NJ0023100",24343
"ROSEMOUNT POLICE DEPARTMENT","MN","ROSEMOUNT POLICE DEPARTMENTMN","MN0190500",25597
"SANDUSKY POLICE DEPARTMENT","OH","SANDUSKY POLICE DEPARTMENTOH","OH0220300",24422
"EMPORIA POLICE DEPARTMENT","KS","EMPORIA POLICE DEPARTMENTKS","KS0560100",24564
"HERNDON POLICE DEPARTMENT","VA","HERNDON POLICE DEPARTMENTVA","VA0290200",24739
"EAST HEMPFIELD TOWNSHIP POLICE DEPARTMENT","PA","EAST HEMPFIELD TOWNSHIP POLICE DEPARTMENTPA","PA0362300",24831
"WEST MEMPHIS POLICE DEPARTMENT","AR","WEST MEMPHIS POLICE DEPARTMENTAR","AR0180100",24205
"POOLER POLICE DEPARTMENT","GA","POOLER POLICE DEPARTMENTGA","GA0250400",26634
"WESTFORD POLICE DEPARTMENT","MA","WESTFORD POLICE DEPARTMENTMA","MA0095000",25011
"HAZLETON POLICE DEPARTMENT","PA","HAZLETON POLICE DEPARTMENTPA","PA0400700",24726
"MAPLEWOOD POLICE","NJ","MAPLEWOOD POLICENJ","NJ0071100",25531
"DENISON POLICE DEPARTMENT","TX","DENISON POLICE DEPARTMENTTX","TX0910200",25858
"KALAMAZOO TOWNSHIP POLICE DEPARTMENT","MI","KALAMAZOO TOWNSHIP POLICE DEPARTMENTMI","MI3950000",24562
"STAUNTON POLICE DEPARTMENT","VA","STAUNTON POLICE DEPARTMENTVA","VA1260000",25048
"WARRINGTON TOWNSHIP POLICE DEPARTMENT","PA","WARRINGTON TOWNSHIP POLICE DEPARTMENTPA","PA0094500",24689
"NORTON SHORES POLICE DEPARTMENT","MI","NORTON SHORES POLICE DEPARTMENTMI","MI6162500",24742
"KERNERSVILLE POLICE DEPARTMENT","NC","KERNERSVILLE POLICE DEPARTMENTNC","NC0340100",24772
"FOREST GROVE POLICE DEPARTMENT","OR","FOREST GROVE POLICE DEPARTMENTOR","OR0340200",26065
"SAN BENITO POLICE DEPARTMENT","TX","SAN BENITO POLICE DEPARTMENTTX","TX0310900",24237
"HIALEAH GARDENS POLICE DEPARTMENT","FL","HIALEAH GARDENS POLICE DEPARTMENTFL","FL0131600",23667
"CORONADO POLICE DEPARTMENT","CA","CORONADO POLICE DEPARTMENTCA","CA0370300",23750
"DECATUR POLICE DEPARTMENT","GA","DECATUR POLICE DEPARTMENTGA","GA0440100",26473
"CAMILLUS TOWN AND VILLAGE POLICE DEPARTMENT","NY","CAMILLUS TOWN AND VILLAGE POLICE DEPARTMENTNY","NY0335000",24098
"NORFOLK POLICE DEPARTMENT","NE","NORFOLK POLICE DEPARTMENTNE","NB0600100",24467
"UPPER PROVIDENCE TOWNSHIP POLICE DEPARTMENT","PA","UPPER PROVIDENCE TOWNSHIP POLICE DEPARTMENTPA","PA0463800",24725
"SCOTCH PLAINS POLICE","NJ","SCOTCH PLAINS POLICENJ","NJ0201600",24313
"AVON LAKE POLICE DEPARTMENT","OH","AVON LAKE POLICE DEPARTMENTOH","OH0470300",24724
"MANLIUS TOWN POLICE DEPARTMENT","NY","MANLIUS TOWN POLICE DEPARTMENTNY","NY0332900",24139
"DINUBA POLICE DEPARTMENT","CA","DINUBA POLICE DEPARTMENTCA","CA0540100",24807
"BRIDGETON POLICE","NJ","BRIDGETON POLICENJ","NJ0060100",24032
"TROTWOOD POLICE DEPARTMENT","OH","TROTWOOD POLICE DEPARTMENTOH","OH0571200",24399
"OTTUMWA POLICE DEPARTMENT","IA","OTTUMWA POLICE DEPARTMENTIA","IA0900100",24293
"OXFORD POLICE DEPARTMENT","MS","OXFORD POLICE DEPARTMENTMS","MS0360100",28866
"PEEKSKILL POLICE DEPARTMENT","NY","PEEKSKILL POLICE DEPARTMENTNY","NY0590100",24371
"SEAL BEACH POLICE DEPARTMENT","CA","SEAL BEACH POLICE DEPARTMENTCA","CA0302000",23873
"CRANFORD POLICE","NJ","CRANFORD POLICENJ","NJ0200300",24186
"INKSTER POLICE DEPARTMENT","MI","INKSTER POLICE DEPARTMENTMI","MI8249000",24173
"MEQUON POLICE DEPARTMENT","WI","MEQUON POLICE DEPARTMENTWI","WI0460100",24527
"CRESTVIEW POLICE DEPARTMENT","FL","CRESTVIEW POLICE DEPARTMENTFL","FL0460100",25787
"BRANDON POLICE DEPARTMENT","MS","BRANDON POLICE DEPARTMENTMS","MS0610100",24545
"FAIRFAX CITY POLICE DEPARTMENT","VA","FAIRFAX CITY POLICE DEPARTMENTVA","VA1075000",24161
"SPRINGFIELD TOWNSHIP POLICE DEPARTMENT","PA","SPRINGFIELD TOWNSHIP POLICE DEPARTMENTPA","PA0233100",24276
"RIDGELAND POLICE DEPARTMENT","MS","RIDGELAND POLICE DEPARTMENTMS","MS0450200",24080
"SOUTH PLAINFIELD POLICE","NJ","SOUTH PLAINFIELD POLICENJ","NJ0122200",24100
"BROOKINGS POLICE DEPARTMENT","SD","BROOKINGS POLICE DEPARTMENTSD","SD0050100",24682
"FORT DODGE POLICE DEPARTMENT","IA","FORT DODGE POLICE DEPARTMENTIA","IA0940100",23755
"CONVERSE POLICE DEPARTMENT","TX","CONVERSE POLICE DEPARTMENTTX","TX0150500",28991
"UPPER MORELAND TOWNSHIP POLICE DEPARTMENT","PA","UPPER MORELAND TOWNSHIP POLICE DEPARTMENTPA","PA0463000",24031
"MARYSVILLE POLICE DEPARTMENT","OH","MARYSVILLE POLICE DEPARTMENTOH","OH0800100",24962
"CUDAHY POLICE DEPARTMENT","CA","CUDAHY POLICE DEPARTMENTCA","CA0191700",0
"BARSTOW POLICE DEPARTMENT","CA","BARSTOW POLICE DEPARTMENTCA","CA0360100",24041
"PONCA CITY POLICE DEPARTMENT","OK","PONCA CITY POLICE DEPARTMENTOK","OK0360300",23484
"SEARCY POLICE DEPARTMENT","AR","SEARCY POLICE DEPARTMENTAR","AR0730100",23742
"MANSFIELD POLICE DEPARTMENT","MA","MANSFIELD POLICE DEPARTMENTMA","MA0031000",24484
"ACTON POLICE DEPARTMENT","MA","ACTON POLICE DEPARTMENTMA","MA0090100",23728
"WILMINGTON POLICE DEPARTMENT","MA","WILMINGTON POLICE DEPARTMENTMA","MA0095200",23437
"BETHLEHEM TOWNSHIP POLICE DEPARTMENT","PA","BETHLEHEM TOWNSHIP POLICE DEPARTMENTPA","PA0481200",24403
"BENBROOK POLICE DEPARTMENT","TX","BENBROOK POLICE DEPARTMENTTX","TX2200400",23766
"CARTERET POLICE","NJ","CARTERET POLICENJ","NJ0120100",23444
"MARPLE TOWNSHIP POLICE DEPARTMENT","PA","MARPLE TOWNSHIP POLICE DEPARTMENTPA","PA0231700",24015
"CAMAS POLICE DEPARTMENT","WA","CAMAS POLICE DEPARTMENTWA","WA0060200",24979
"DERBY POLICE DEPARTMENT","KS","DERBY POLICE DEPARTMENTKS","KS0870100",25229
"JACKSONVILLE BEACH POLICE DEPARTMENT","FL","JACKSONVILLE BEACH POLICE DEPARTMENTFL","FL0160300",23894
"FARIBAULT POLICE DEPARTMENT","MN","FARIBAULT POLICE DEPARTMENTMN","MN0660100",23958
"MUSCATINE POLICE DEPARTMENT","IA","MUSCATINE POLICE DEPARTMENTIA","IA0700100",23616
"PELHAM POLICE DEPARTMENT","AL","PELHAM POLICE DEPARTMENTAL","AL0590600",24188
"NORTH PLATTE POLICE DEPARTMENT","NE","NORTH PLATTE POLICE DEPARTMENTNE","NB0560100",23523
"MOSES LAKE POLICE DEPARTMENT","WA","MOSES LAKE POLICE DEPARTMENTWA","WA0130200",24524
"CENTERVILLE POLICE DEPARTMENT","OH","CENTERVILLE POLICE DEPARTMENTOH","OH0570100",23668
"WADSWORTH POLICE DEPARTMENT","OH","WADSWORTH POLICE DEPARTMENTOH","OH0520300",24324
"CANTON POLICE DEPARTMENT","MA","CANTON POLICE DEPARTMENTMA","MA0110500",24015
"NORTH HAVEN POLICE DEPARTMENT","CT","NORTH HAVEN POLICE DEPARTMENTCT","CT0010100",23639
"KALISPELL POLICE DEPARTMENT","MT","KALISPELL POLICE DEPARTMENTMT","MT0150300",25125
"GREENBELT POLICE DEPARTMENT","MD","GREENBELT POLICE DEPARTMENTMD","MD0171400",23342
"CORSICANA POLICE DEPARTMENT","TX","CORSICANA POLICE DEPARTMENTTX","TX1750100",23914
"WATERTOWN POLICE DEPARTMENT","WI","WATERTOWN POLICE DEPARTMENTWI","WI0280300",15256
"VAN BUREN POLICE DEPARTMENT","AR","VAN BUREN POLICE DEPARTMENTAR","AR0170100",23779
"HINGHAM POLICE DEPARTMENT","MA","HINGHAM POLICE DEPARTMENTMA","MA0121000",25816
"AUBURN HILLS POLICE DEPARTMENT","MI","AUBURN HILLS POLICE DEPARTMENTMI","MI6385100",25149
"MEDFORD TOWNSHIP POLICE","NJ","MEDFORD TOWNSHIP POLICENJ","NJ0032100",23433
"KERRVILLE POLICE DEPARTMENT","TX","KERRVILLE POLICE DEPARTMENTTX","TX1330100",23912
"BELTON POLICE DEPARTMENT","MO","BELTON POLICE DEPARTMENTMO","MO0190200",23698
"MONTGOMERY TOWNSHIP POLICE","NJ","MONTGOMERY TOWNSHIP POLICENJ","NJ0181300",23268
"OAKDALE POLICE DEPARTMENT","CA","OAKDALE POLICE DEPARTMENTCA","CA0500400",23926
"SAGINAW POLICE DEPARTMENT","TX","SAGINAW POLICE DEPARTMENTTX","TX2202400",24822
"JENKS POLICE DEPARTMENT","OK","JENKS POLICE DEPARTMENTOK","OK0720800",24639
"ROCK SPRINGS POLICE DEPARTMENT","WY","ROCK SPRINGS POLICE DEPARTMENTWY","WY0190200",22615
"TUMWATER POLICE DEPARTMENT","WA","TUMWATER POLICE DEPARTMENTWA","WA0340200",24493
"ROMULUS POLICE DEPARTMENT","MI","ROMULUS POLICE DEPARTMENTMI","MI8270900",23533
"VENICE POLICE DEPARTMENT","FL","VENICE POLICE DEPARTMENTFL","FL0580200",24366
"FARMINGTON POLICE DEPARTMENT","MN","FARMINGTON POLICE DEPARTMENTMN","MN0190200",23318
"HAMILTON TWP POLICE DEPARTMENT","OH","HAMILTON TWP POLICE DEPARTMENTOH","OH0831000",24081
"OAK HARBOR POLICE DEPARTMENT","WA","OAK HARBOR POLICE DEPARTMENTWA","WA0150100",23721
"CRYSTAL POLICE DEPARTMENT","MN","CRYSTAL POLICE DEPARTMENTMN","MN0270400",22987
"YARMOUTH POLICE DEPARTMENT","MA","YARMOUTH POLICE DEPARTMENTMA","MA0011500",23015
"GREENWOOD POLICE DEPARTMENT","SC","GREENWOOD POLICE DEPARTMENTSC","SC0240100",23422
"COLUMBUS POLICE DEPARTMENT","NE","COLUMBUS POLICE DEPARTMENTNE","NB0710100",23597
"PLAINSBORO POLICE","NJ","PLAINSBORO POLICENJ","NJ0121800",22847
"LAGUNA BEACH POLICE DEPARTMENT","CA","LAGUNA BEACH POLICE DEPARTMENTCA","CA0301100",22834
"NORTH AUGUSTA DEPARTMENT OF PUBLIC SAFETY","SC","NORTH AUGUSTA DEPARTMENT OF PUBLIC SAFETYSC","SC0020300",23996
"WEST GOSHEN TOWNSHIP POLICE DEPARTMENT","PA","WEST GOSHEN TOWNSHIP POLICE DEPARTMENTPA","PA0151400",23100
"MARSHALL POLICE DEPARTMENT","TX","MARSHALL POLICE DEPARTMENTTX","TX1020200",22755
"KINGSTON POLICE DEPARTMENT","NY","KINGSTON POLICE DEPARTMENTNY","NY0550100",22682
"OXFORD POLICE DEPARTMENT","OH","OXFORD POLICE DEPARTMENTOH","OH0090700",23278
"WINCHESTER POLICE DEPARTMENT","MA","WINCHESTER POLICE DEPARTMENTMA","MA0095300",22827
"AUBURN POLICE DEPARTMENT","ME","AUBURN POLICE DEPARTMENTME","ME0010100",23455
"LEESBURG POLICE DEPARTMENT","FL","LEESBURG POLICE DEPARTMENTFL","FL0350200",24063
"ACWORTH POLICE DEPARTMENT","GA","ACWORTH POLICE DEPARTMENTGA","GA0330500",23085
"ROXBURY TOWNSHIP POLICE","NJ","ROXBURY TOWNSHIP POLICENJ","NJ0143600",22439
"ERLANGER POLICE DEPARTMENT","KY","ERLANGER POLICE DEPARTMENTKY","KY0590300",23441
"NEW BRIGHTON DEPARTMENT OF PUBLIC SAFETY","MN","NEW BRIGHTON DEPARTMENT OF PUBLIC SAFETYMN","MN0620600",22843
"WILLOUGHBY POLICE DEPARTMENT","OH","WILLOUGHBY POLICE DEPARTMENTOH","OH0431200",23058
"SOLON POLICE DEPARTMENT","OH","SOLON POLICE DEPARTMENTOH","OH0184900",22703
"NEWTOWN TOWNSHIP POLICE DEPARTMENT","PA","NEWTOWN TOWNSHIP POLICE DEPARTMENTPA","PA0091200",22723
"DICKINSON POLICE DEPARTMENT","ND","DICKINSON POLICE DEPARTMENTND","ND0450100",23801
"JUNCTION CITY POLICE DEPARTMENT","KS","JUNCTION CITY POLICE DEPARTMENTKS","KS0310100",21242
"WEBSTER GROVES POLICE DEPARTMENT","MO","WEBSTER GROVES POLICE DEPARTMENTMO","MO0958000",22798
"KEENE POLICE DEPARTMENT","NH","KEENE POLICE DEPARTMENTNH","NH0031800",22707
"GRAND CHUTE POLICE DEPARTMENT","WI","GRAND CHUTE POLICE DEPARTMENTWI","WI0450900",23579
