"Police Department","State","ORI","Data Entered?","Population","Use of Force Source Link","2013 Firearm Discharged at Person","2014 Firearm Discharged at Person","2015 Firearm Discharged at Person","2016 Firearm Discharged at Person","2017 Firearm Discharged at Person","2018 Firearm Discharged at Person","2019 Firearm Discharged at Person","2020 Firearm Discharged at Person","2021 Firearm Discharged at Person","2022 Firearm Discharged at Person","2013 Taser (also sometimes called Electronic Control Weapons or ECW)","2014 Taser (also sometimes called Electronic Control Weapons or ECW)","2015 Taser (also sometimes called Electronic Control Weapons or ECW)","2016 Taser (also sometimes called Electronic Control Weapons or ECW)","2017 Taser (also sometimes called Electronic Control Weapons or ECW)","2018 Taser (also sometimes called Electronic Control Weapons or ECW)","2019 Taser (also sometimes called Electronic Control Weapons or ECW)","2020 Taser (also sometimes called Electronic Control Weapons or ECW)","2021 Taser (also sometimes called Electronic Control Weapons or ECW)","2022 Taser (also sometimes called Electronic Control Weapons or ECW)","Are taser uses separated into two or more categories (for example, taser probes vs taser drive stuns)? (Put Yes or No)","2013 Impact Weapons and Projectiles (Baton, Rapid Containment Baton, ASP, Bean Bag Gun, Extended range impact weapons, RCB, improvised impact weapon)","2014 Impact Weapons and Projectiles (Baton, Rapid Containment Baton, ASP, Bean Bag Gun, Extended range impact weapons, RCB, improvised impact weapon)","2015 Impact Weapons and Projectiles (Baton, Rapid Containment Baton, ASP, Bean Bag Gun, Extended range impact weapons, RCB, improvised impact weapon)","2016 Impact Weapons and Projectiles (Baton, Rapid Containment Baton, ASP, Bean Bag Gun, Extended range impact weapons, RCB, improvised impact weapon)","2017 Impact Weapons and Projectiles (Baton, Rapid Containment Baton, ASP, Bean Bag Gun, Extended range impact weapons, RCB, improvised impact weapon)","2018 Impact Weapons and Projectiles (Baton, Rapid Containment Baton, ASP, Bean Bag Gun, Extended range impact weapons, RCB, improvised impact weapon)","2019 Impact Weapons and Projectiles (Baton, Rapid Containment Baton, ASP, Bean Bag Gun, Extended range impact weapons, RCB, improvised impact weapon)","2020 Impact Weapons and Projectiles (Baton, Rapid Containment Baton, ASP, Bean Bag Gun, Extended range impact weapons, RCB, improvised impact weapon)","2021 Impact Weapons and Projectiles (Baton, Rapid Containment Baton, ASP, Bean Bag Gun, Extended range impact weapons, RCB, improvised impact weapon)","2022 Impact Weapons and Projectiles (Baton, Rapid Containment Baton, ASP, Bean Bag Gun, Extended range impact weapons, RCB, improvised impact weapon)","Categories counted in impact weapon tally","2013 Carotid Restraints (also sometimes called Carotid Control Holds)","2014 Carotid Restraints (also sometimes called Carotid Control Holds)","2015 Carotid Restraints (also sometimes called Carotid Control Holds)","2016 Carotid Restraints (also sometimes called Carotid Control Holds)","2017 Carotid Restraints (also sometimes called Carotid Control Holds)","2018 Carotid Restraints (also sometimes called Carotid Control Holds)","2019 Carotid Restraints (also sometimes called Carotid Control Holds)","2020 Carotid Restraints (also sometimes called Carotid Control Holds)","2021 Carotid Restraints (also sometimes called Carotid Control Holds)","2022 Carotid Restraints (also sometimes called Carotid Control Holds)","2013 Chemical Spray (OC Spray/Pepper Spray and Pepper Ball)","2014 Chemical Spray (OC Spray/Pepper Spray and Pepper Ball)","2015 Chemical Spray (OC Spray/Pepper Spray and Pepper Ball)","2016 Chemical Spray (OC Spray/Pepper Spray and Pepper Ball)","2017 Chemical Spray (OC Spray/Pepper Spray and Pepper Ball)","2018 Chemical Spray (OC Spray/Pepper Spray and Pepper Ball)","2019 Chemical Spray (OC Spray/Pepper Spray and Pepper Ball)","2020 Chemical Spray (OC Spray/Pepper Spray and Pepper Ball)","2021 Chemical Spray (OC Spray/Pepper Spray and Pepper Ball)","2022 Chemical Spray (OC Spray/Pepper Spray and Pepper Ball)","2013 K-9 deployments","2014 K-9 deployments","2015 K-9 deployments","2016 K-9 deployments","2017 K-9 deployments","2018 K-9 deployments","2019 K-9 deployments","2020 K-9 deployments","2021 K-9 deployments","2022 K-9 deployments","Total Use of Force Incidents 2013","Total Use of Force Incidents 2014","Total Use of Force Incidents 2015","Total Use of Force Incidents 2016","Total Use of Force Incidents 2017","Total Use of Force Incidents 2018","Total Use of Force Incidents 2019","Total Use of Force Incidents 2020","Total Use of Force Incidents 2021","Total Use of Force Incidents 2022","2013 Total ""Less Lethal Force""","2014 Total ""Less Lethal Force""","2015 Total ""Less Lethal Force""","2016 Total ""Less Lethal Force""","2017 Total ""Less Lethal Force""","2018 Total ""Less Lethal Force""","2019 Total ""Less Lethal Force""","Total_Less_lethal_force_2020","2021 Total ""Less Lethal Force""","2022 Total ""Less Lethal Force""","Individualized w/ officer names","Notes/Comments","Slack handle of person inputting the data","FINAL CHECK","Data checked?","Responses to factchecking","Response to response","Response to response to response","2021 Response","2021 Response to Response","Fact-Checked by","Use of Force Documentation (2013 LEMAS)","Officer or Incident Based Reporting (2013 LEMAS)","Force Types Required to be Reported (2013 LEMAS)","Total Use of Force Incidents 2012 (LEMAS)","Total Use of Force Reports 2012 (LEMAS)","Reportable Force Types (2016 LEMAS)","Reportable Force Types (Updated)","Use of Force Documentation Used (Updated)","Officer or Incident Based Reporting Used (DRAFT Revision)","Review Incident/Officer Based Reporting"
"North Arlington Police","NJ","NJ0023900","Yes",15695,"https://www.njoag.gov/force/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Used less-lethal device on, compliance hold with impact weapon, struck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"INDIVIDUALIZED via state database with Officer Names","","samswey","","","","","","",NA,"","","","",NA,NA,"","Open-Hand;Closed-Hand;Takedowns;Neck Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Display;Taser Discharge;Explosives;Firearm Display;Firearm Discharge;K-9 Deployment","Use of force form","Incident",""
"Warren Township Police Department","NJ","NJ0182000","Yes",15689,"https://www.njoag.gov/force/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Used less-lethal device on, compliance hold with impact weapon, struck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"INDIVIDUALIZED via state database with Officer Names","","samswey","","","","","","",NA,"","","","",NA,NA,"","Open-Hand;Closed-Hand;Takedowns;Neck Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Display;Taser Discharge;Explosives;Firearm Display;Firearm Discharge;K-9 Deployment","Use of force form","Incident",""
"Lewiston Town Police Department","NY","NY0315400","Yes",15671,"https://www.criminaljustice.ny.gov/crimnet/ojsa/Final%20Use%20of%20Force%20Frequency%20Tables%2011-17-2022.xlsx ; https://www.criminaljustice.ny.gov/crimnet/ojsa/Nov2020-Dec2021%20UOF%20Case%20Level%20File%20Final.xlsx",NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,0,"No",NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Impact Weapon",NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,1,0,"INDIVIDUALIZED via state database","","samswey","","","","","","",NA,"","","","",NA,NA,"","Neck Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Display;Taser Discharge;Firearm Display;Firearm Discharge","Use of force form","Incident",""
"Tiverton Police Department","RI","RI0030500","Yes",15604,"https://tivertonpoliceri.com/use-of-force/",NA,NA,0,1,0,1,0,0,0,0,NA,NA,1,1,1,0,1,0,0,0,"No",NA,NA,0,0,0,0,0,0,0,0,"ASP/Impact Weapon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,2,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,4,7,8,6,6,11,15,17,NA,NA,1,1,1,0,2,2,0,0,"","","maryhammond","","","","","","",NA,"","","","",NA,NA,"","","","",""
"Solano County Sheriff","CA","CA0480000","Yes",15389,"https://www.muckrock.com/foi/solano-county-3070/sheriffs-use-of-forcecomplaints-data-solano-county-sheriff-74725/#file-796966",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,38,NA,NA,NA,NA,"No",NA,NA,NA,NA,5,15,NA,NA,NA,NA,"Impact Weapons, FN303",NA,NA,NA,NA,5,7,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,69,NA,NA,NA,NA,"","FN 303 + Impact weapons = impact weapons; no 2013-15 data","alliemonck","Good","@MaryHammond","","","","",NA,"","Use of force form","Officer","Display Firearm/Discharge Firearm/Baton/Impact Weapon/Bean Bag/OC Spray/Other Chemical/Display Taser/Discharge Taser/Neck Restraints/Takedown/Open Hand/Closed Hand/Leg Restraints",NA,87,"Open-Hand;Closed-Hand;Takedowns;Neck Restraints;Leg Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Display;Taser Discharge;Explosives;Firearm Display;Firearm Discharge","Open-Hand;Closed-Hand;Takedowns;Neck Restraints;Leg Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Display;Taser Discharge;Explosives;Firearm Display;Firearm Discharge;K-9 Deployment","Use of force form","Officer","review"
"Middleburg Heights Police Department","OH","OH0183100","Yes",15367,"https://dpsoibrspext.azurewebsites.net/UOF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Baton, Bean Bag, Other Impact Projectile, Flashlight or Other Blunt Instrument Used, Other Police Weapon (non-firearm)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"INDIVIDUALIZED via state database","","samswey","","","","","","",NA,"","","","",NA,NA,"","Open-Hand;Closed-Hand;Takedowns;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Discharge;Explosives;Firearm Discharge;K-9 Deployment","Use of force form","Incident",""
"Stony Point Town Police Department","NY","NY0435400","Yes",15338,"https://www.criminaljustice.ny.gov/crimnet/ojsa/Final%20Use%20of%20Force%20Frequency%20Tables%2011-17-2022.xlsx ; https://www.criminaljustice.ny.gov/crimnet/ojsa/Nov2020-Dec2021%20UOF%20Case%20Level%20File%20Final.xlsx",NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,4,"No",NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Impact Weapon",NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,1,4,"INDIVIDUALIZED via state database","","samswey","","","","","","",NA,"","","","",NA,NA,"Open-Hand;Closed-Hand;Takedowns;Leg Restraints;OC Spray;Baton;Taser Discharge;Firearm Discharge","Neck Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Display;Taser Discharge;Firearm Display;Firearm Discharge","Use of force form","Incident",""
"Asbury Park Police","NJ","NJ0130300","Yes",15331,"https://www.njoag.gov/force/",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,1,"Used less-lethal device on, compliance hold with impact weapon, struck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,55,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"INDIVIDUALIZED via state database with Officer Names","","samswey","","","","","","",NA,"","Use of force form","Officer","Discharge Firearm/Baton/Impact Weapon/Not Applicable (Bean Bag)/OC Spray/Not Applicable (Other Chemical)/Not Applicable (Display Taser)/Not Applicable (Discharge Taser)/Not Applicable (Neck Restraint)/Not Applicable (Leg Restraints)",NA,90,"","Open-Hand;Closed-Hand;Takedowns;Neck Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Display;Taser Discharge;Explosives;Firearm Display;Firearm Discharge;K-9 Deployment","Use of force form","Incident",""
"Bay Village Police Department","OH","OH0180100","Yes",15135,"https://dpsoibrspext.azurewebsites.net/UOF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,1,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Baton, Bean Bag, Other Impact Projectile, Flashlight or Other Blunt Instrument Used, Other Police Weapon (non-firearm)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,1,5,NA,NA,NA,NA,NA,0,0,1,NA,2,"INDIVIDUALIZED via state database","","samswey","","","","","","",NA,"","","","",NA,NA,"","Open-Hand;Closed-Hand;Takedowns;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Discharge;Explosives;Firearm Discharge;K-9 Deployment","Use of force form","Incident",""
"Whitehall Police Department","PA","PA0391600","Yes",NA,"https://www.muckrock.com/foi/whitehall-27405/pennsylvania-police-data-request-whitehall-township-116005/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,"","","","","","","","","",NA,"","","","",NA,NA,"","","","",""
"Kenmore Village Police Department","NY","NY0140400","Yes",14968,"https://www.criminaljustice.ny.gov/crimnet/ojsa/Final%20Use%20of%20Force%20Frequency%20Tables%2011-17-2022.xlsx ; https://www.criminaljustice.ny.gov/crimnet/ojsa/Nov2020-Dec2021%20UOF%20Case%20Level%20File%20Final.xlsx",NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,4,"No",NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Impact Weapon",NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,8,NA,NA,NA,NA,NA,NA,NA,NA,1,4,"INDIVIDUALIZED via state database","","samswey","","","","","","",NA,"","","","",NA,NA,"","Neck Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Display;Taser Discharge;Firearm Display;Firearm Discharge","Use of force form","Incident",""
"Depew Village Police Department","NY","NY0142400","Yes",14965,"https://www.criminaljustice.ny.gov/crimnet/ojsa/Final%20Use%20of%20Force%20Frequency%20Tables%2011-17-2022.xlsx ; https://www.criminaljustice.ny.gov/crimnet/ojsa/Nov2020-Dec2021%20UOF%20Case%20Level%20File%20Final.xlsx",NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,3,"No",NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Impact Weapon",NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,13,NA,NA,NA,NA,NA,NA,NA,NA,3,7,"INDIVIDUALIZED via state database","","samswey","","","","","","",NA,"","Use of force form","Incident","Discharge Firearm/Baton/Impact Weapon/Not Applicable (Bean Bag)/OC Spray/Not Applicable (Other Chemical)/Discharge Taser/Not Applicable (Neck Restraint)/Takedown/Open Hand/Closed Hand/Not Applicable (Leg Restraints)",10,NA,"","Neck Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Display;Taser Discharge;Firearm Display;Firearm Discharge","Use of force form","Incident",""
"Ramsey Police","NJ","NJ0024800","Yes",14904,"https://www.njoag.gov/force/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Used less-lethal device on, compliance hold with impact weapon, struck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"INDIVIDUALIZED via state database with Officer Names","","samswey","","","","","","",NA,"","","","",NA,NA,"","Open-Hand;Closed-Hand;Takedowns;Neck Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Display;Taser Discharge;Explosives;Firearm Display;Firearm Discharge;K-9 Deployment","Use of force form","Incident",""
"Weehawken Police","NJ","NJ0091100","Yes",14874,"https://www.njoag.gov/force/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Used less-lethal device on, compliance hold with impact weapon, struck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"INDIVIDUALIZED via state database with Officer Names","","samswey","","","","","","",NA,"","","","",NA,NA,"","Open-Hand;Closed-Hand;Takedowns;Neck Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Display;Taser Discharge;Explosives;Firearm Display;Firearm Discharge;K-9 Deployment","Use of force form","Incident",""
"Paradise Valley Police Department","AZ","AZ0071900","Yes",14859,"https://www.paradisevalleyaz.gov/DocumentCenter/View/9703/2021-Use-of-Force-Report- ; https://www.muckrock.com/foi/paradise-valley-9566/nevada-police-data-collection-paradise-valley-police-department-116100/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,2,4,9,5,7,8,13,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,"Individualized","use of force totals include displays of force","samswey","","","","","","",NA,"maryhammond","","","",NA,NA,"","","","Incident",""
"Carthage Police Department","NC","NC0630500","Yes",2582,"https://www.muckrock.com/foi/carthage-4111/missouri-police-data-collection-carthage-police-department-115977/",0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,"No",0,0,0,0,0,0,0,0,NA,NA,"",0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,"","","","","","","","","",NA,"","Documented in arrest report","Incident","Discharge Firearm/Baton/Not Applicable (Impact Weapon)/Bean Bag/OC Spray/Discharge Taser/Neck Restraints/Takedown/Open Hand/Closed Hand/Leg Restraints",10,NA,"","","Documented in arrest report","Incident",""
"Mantua Township Police","NJ","NJ0081000","Yes",14769,"https://www.njoag.gov/force/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Used less-lethal device on, compliance hold with impact weapon, struck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,10,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"INDIVIDUALIZED via state database with Officer Names","","samswey","","","","","","",NA,"","","","",NA,NA,"","Open-Hand;Closed-Hand;Takedowns;Neck Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Display;Taser Discharge;Explosives;Firearm Display;Firearm Discharge;K-9 Deployment","Use of force form","Incident",""
"Tonawanda Police Department","NY","NY0140300","Yes",14700,"https://www.criminaljustice.ny.gov/crimnet/ojsa/Final%20Use%20of%20Force%20Frequency%20Tables%2011-17-2022.xlsx ; https://www.criminaljustice.ny.gov/crimnet/ojsa/Nov2020-Dec2021%20UOF%20Case%20Level%20File%20Final.xlsx",NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"No",NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Impact Weapon",NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"INDIVIDUALIZED via state database","","samswey","","","","","","",NA,"","","","",NA,NA,"","Neck Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Display;Taser Discharge;Firearm Display;Firearm Discharge","Use of force form","Incident",""
"Gloversville Police Department","NY","NY0170100","Yes",14656,"https://www.criminaljustice.ny.gov/crimnet/ojsa/Final%20Use%20of%20Force%20Frequency%20Tables%2011-17-2022.xlsx ; https://www.criminaljustice.ny.gov/crimnet/ojsa/Nov2020-Dec2021%20UOF%20Case%20Level%20File%20Final.xlsx",NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,16,8,"No",NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Impact Weapon",NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,26,NA,NA,NA,NA,NA,NA,NA,NA,19,10,"INDIVIDUALIZED via state database","","samswey","","","","","","",NA,"","","","",NA,NA,"","Neck Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Display;Taser Discharge;Firearm Display;Firearm Discharge","Use of force form","Incident",""
"Metuchen Police","NJ","NJ0121000","Yes",14639,"https://www.njoag.gov/force/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Used less-lethal device on, compliance hold with impact weapon, struck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"INDIVIDUALIZED via state database with Officer Names","","samswey","","","","","","",NA,"","","","",NA,NA,"","Open-Hand;Closed-Hand;Takedowns;Neck Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Display;Taser Discharge;Explosives;Firearm Display;Firearm Discharge;K-9 Deployment","Use of force form","Incident",""
"Robbinsville Township Police Department","NJ","NJ0111200","Yes",14628,"https://www.njoag.gov/force/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Used less-lethal device on, compliance hold with impact weapon, struck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"INDIVIDUALIZED via state database with Officer Names","","samswey","","","","","","",NA,"","","","",NA,NA,"","Open-Hand;Closed-Hand;Takedowns;Neck Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Display;Taser Discharge;Explosives;Firearm Display;Firearm Discharge;K-9 Deployment","Use of force form","Incident",""
"Branchburg Township Police","NJ","NJ0180500","Yes",14526,"https://www.njoag.gov/force/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Used less-lethal device on, compliance hold with impact weapon, struck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"INDIVIDUALIZED via state database with Officer Names","","samswey","","","","","","",NA,"","Use of force form","Officer","Display Firearm/Discharge Firearm/Baton/Not Applicable (Impact Weapon)/Not Applicable (Bean Bag)/OC Spray/Not Applicable (Other Chemical)/Not Applicable (Display Taser)/Not Applicable (Discharge Taser)/Not Applicable (Neck Restraint)/Takedown/Open Hand/Closed Hand/Not Applicable (Leg Restraints)",NA,NA,"","Open-Hand;Closed-Hand;Takedowns;Neck Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Display;Taser Discharge;Explosives;Firearm Display;Firearm Discharge;K-9 Deployment","Use of force form","Incident",""
"Haddon Township Police","NJ","NJ0041600","Yes",14510,"https://www.njoag.gov/force/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Used less-lethal device on, compliance hold with impact weapon, struck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"INDIVIDUALIZED via state database with Officer Names","","samswey","","","","","","",NA,"","","","",NA,NA,"","Open-Hand;Closed-Hand;Takedowns;Neck Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Display;Taser Discharge;Explosives;Firearm Display;Firearm Discharge;K-9 Deployment","Use of force form","Incident",""
